AAL	ɐ ɐ l
REGIONAL	ʁ e ʒ i o n ɐ l
REGREDI	ʁ e ɡ ɾ e d i
REGREDIDO	ʁ e ɡ ɾ e d i d u
REGREDIMOS	ʁ e ɡ ɾ e d i m u ʃ
REGREDINDO	ʁ e ɡ ɾ e d ĩ d u
REGREDIR	ʁ e ɡ ɾ e d i ɾ
REGREDIU	ʁ e ɡ ɾ e d i w
REGRESSIVIDADE	ʁ e ɡ ɾ e s i v i d ɐ d i
REGRIDE	ʁ e ɡ ɾ i d i
REGULAMENTE	ʁ e ɡ u l ɐ m ẽ t i
REGULARIDADE	ʁ e ɡ u l ɐ ɾ i d ɐ d i
REGULARIDADES	ʁ e ɡ u l ɐ ɾ i d ɐ d i ʃ
REGULARMENTE	ʁ e ɡ u l ɐ ɾ m ẽ t i
REGULATIVO	ʁ e ɡ u l ɐ t i v u
REGULÁVEL	ʁ e ɡ u l ɐ v ɛ l
REINANTE	ʁ e j n ɐ̃ t i
REINANTES	ʁ e j n ɐ̃ t i ʃ
REINCIDENTE	ʁ e ĩ s i d ẽ t i
REINCIDENTES	ʁ e ĩ s i d ẽ t i ʃ
REINCIDINDO	ʁ e ĩ s i d ĩ d u
REINCIDIR	ʁ e ĩ s i d i ɾ
REINCIDIU	ʁ e ĩ s i d i w
REINVENTE	ʁ e ĩ v ẽ t i
REITERADAMENTE	ʁ e j t e ɾ ɐ d ɐ m ẽ t i
REITERATIVA	ʁ e j t e ɾ ɐ t i v ɐ
REITERATIVO	ʁ e j t e ɾ ɐ t i v u
REITERATIVOS	ʁ e j t e ɾ ɐ t i v u ʃ
REIVINDICA	ʁ e j v ĩ d i k ɐ
REIVINDICADO	ʁ e j v ĩ d i k ɐ d u
REIVINDICAM	ʁ e j v ĩ d i k ɐ̃ w
REIVINDICAMOS	ʁ e j v ĩ d i k ɐ m u ʃ
REIVINDICANDO	ʁ e j v ĩ d i k ɐ̃ d u
REIVINDICAR	ʁ e j v ĩ d i k ɐ ɾ
REIVINDICARAM	ʁ e j v ĩ d i k ɐ ɾ ɐ̃ w
REIVINDICAREM	ʁ e j v ĩ d i k ɐ ɾ ẽ
REIVINDICARIA	ʁ e j v ĩ d i k ɐ ɾ i ɐ
REIVINDICASSE	ʁ e j v ĩ d i k ɐ s i
REIVINDICASSEM	ʁ e j v ĩ d i k ɐ s ẽ
REIVINDICATÓRIA	ʁ e j v ĩ d i k ɐ t ɔ ɾ i ɐ
REIVINDICAVAM	ʁ e j v ĩ d i k ɐ v ɐ̃ w
REIVINDICAÇÃO	ʁ e j v ĩ d i k ɐ s ɐ̃ w
REIVINDICAÇÕES	ʁ e j v ĩ d i k ɐ s õ j ʃ
REIVINDICO	ʁ e j v ĩ d i k u
REIVINDICOU	ʁ e j v ĩ d i k o w
REIVINDICÁ	ʁ e j v ĩ d i k ɐ
REIVINDIQUE	ʁ e j v ĩ d i k i
REIVINDIQUEM	ʁ e j v ĩ d i k ẽ
REJEITE	ʁ e ʒ e j t i
REJEITES	ʁ e ʒ e j t i ʃ
REJUNTE	ʁ e ʒ ũ t i
REJUNTES	ʁ e ʒ ũ t i ʃ
RELACIONAL	ʁ e l ɐ s i o n ɐ l
RELACIONÁVEL	ʁ e l ɐ s i o n ɐ v ɛ l
RELATE	ʁ e l ɐ t i
RELATIVA	ʁ e l ɐ t i v ɐ
RELATIVAMENTE	ʁ e l ɐ t i v ɐ m ẽ t i
RELATIVAS	ʁ e l ɐ t i v ɐ ʃ
RELATIVIDADE	ʁ e l ɐ t i v i d ɐ d i
RELATIVISMO	ʁ e l ɐ t i v i z m u
RELATIVISTA	ʁ e l ɐ t i v i ʃ t ɐ
RELATIVISTAS	ʁ e l ɐ t i v i ʃ t ɐ ʃ
RELATIVIZA	ʁ e l ɐ t i v i z ɐ
RELATIVIZADO	ʁ e l ɐ t i v i z ɐ d u
RELATIVIZAM	ʁ e l ɐ t i v i z ɐ̃ w
RELATIVIZAMOS	ʁ e l ɐ t i v i z ɐ m u ʃ
RELATIVIZANDO	ʁ e l ɐ t i v i z ɐ̃ d u
RELATIVIZAR	ʁ e l ɐ t i v i z ɐ ɾ
RELATIVIZARAM	ʁ e l ɐ t i v i z ɐ ɾ ɐ̃ w
RELATIVIZAÇÃO	ʁ e l ɐ t i v i z ɐ s ɐ̃ w
RELATIVIZE	ʁ e l ɐ t i v i z i
RELATIVIZO	ʁ e l ɐ t i v i z u
RELATIVO	ʁ e l ɐ t i v u
RELATIVOS	ʁ e l ɐ t i v u ʃ
RELATIVÍSTICA	ʁ e l ɐ t i v i ʃ t i k ɐ
RELATIVÍSTICO	ʁ e l ɐ t i v i ʃ t i k u
RELATÁVEL	ʁ e l ɐ t ɐ v ɛ l
RELAXANTE	ʁ e l ɐ ʃ ɐ̃ t i
RELAXANTES	ʁ e l ɐ ʃ ɐ̃ t i ʃ
RELEVANTE	ʁ e l e v ɐ̃ t i
RELEVANTES	ʁ e l e v ɐ̃ t i ʃ
RELIGIOSAMENTE	ʁ e l i ʒ i ɔ z ɐ m ẽ t i
RELIGIOSIDADE	ʁ e l i ʒ i o z i d ɐ d i
RELIGIOSIDADES	ʁ e l i ʒ i o z i d ɐ d i ʃ
RELUTANTE	ʁ e l u t ɐ̃ t i
RELUTANTEMENTE	ʁ e l u t ɐ̃ t i m ẽ t i
RELUTANTES	ʁ e l u t ɐ̃ t i ʃ
RELUTE	ʁ e l u t i
RELUZENTE	ʁ e l u z ẽ t i
RELUZENTES	ʁ e l u z ẽ t i ʃ
REMANESCENTE	ʁ e m ɐ n e s ẽ t i
REMANESCENTES	ʁ e m ɐ n e s ẽ t i ʃ
REMATE	ʁ e m ɐ t i
REMATES	ʁ e m ɐ t i ʃ
REMEDIADA	ʁ e m e d i ɐ d ɐ
REMEDIADO	ʁ e m e d i ɐ d u
REMEDIADOS	ʁ e m e d i ɐ d u ʃ
REMEDIANDO	ʁ e m e d i ɐ̃ d u
REMEDIAR	ʁ e m e d i ɐ ɾ
REMEDIASSE	ʁ e m e d i ɐ s i
REMEDINHO	ʁ e m e d i ɲ u
REMEDIÁ	ʁ e m e d i ɐ
REMEDIÁVEL	ʁ e m e d i ɐ v ɛ l
REMETE	ʁ e m ɛ t i
REMETENTE	ʁ e m e t ẽ t i
REMETENTES	ʁ e m e t ẽ t i ʃ
REMETIA	ʁ e m e t i ɐ
REMETIAM	ʁ e m e t i ɐ̃ w
REMETIDA	ʁ e m e t i d ɐ
REMETIDAS	ʁ e m e t i d ɐ ʃ
REMETIDO	ʁ e m e t i d u
REMETIDOS	ʁ e m e t i d u ʃ
REMETIMENTO	ʁ e m e t i m ẽ t u
REMEXO	ʁ e m e ʃ u
REMINISCENTE	ʁ e m i n i s ẽ t i
REMITE	ʁ e m i t i
REMITIR	ʁ e m i t i ɾ
REMONTANTE	ʁ e m õ t ɐ̃ t i
REMONTE	ʁ e m õ t i
REMORDE	ʁ e m ɔ ɾ d i
REMORDIMENTO	ʁ e m o ɾ d i m ẽ t u
REMOTAMENTE	ʁ e m ɔ t ɐ m ẽ t i
REMOTÍSSIMOS	ʁ e m o t i s i m u ʃ
REMOVÍVEL	ʁ e m o v i v ɛ l
REMÉDIO	ʁ e m ɛ d i u
REMÉDIOS	ʁ e m ɛ d i u ʃ
RENAL	ʁ e n ɐ l
RENASCENTISMO	ʁ e n ɐ s ẽ t i z m u
RENASCENTISTA	ʁ e n ɐ s ẽ t i ʃ t ɐ
RENASCENTISTAS	ʁ e n ɐ s ẽ t i ʃ t ɐ ʃ
RENDE	ʁ ẽ d i
RENDI	ʁ ẽ d i
RENDIA	ʁ ẽ d i ɐ
RENDIAM	ʁ ẽ d i ɐ̃ w
RENDIDA	ʁ ẽ d i d ɐ
RENDIDAS	ʁ ẽ d i d ɐ ʃ
RENDIDO	ʁ ẽ d i d u
RENDIDOS	ʁ ẽ d i d u ʃ
RENDILHA	ʁ ẽ d i ʎ ɐ
RENDILHADA	ʁ ẽ d i ʎ ɐ d ɐ
RENDILHADO	ʁ ẽ d i ʎ ɐ d u
RENDILHADOS	ʁ ẽ d i ʎ ɐ d u ʃ
RENDILHANDO	ʁ ẽ d i ʎ ɐ̃ d u
RENDILHEIRA	ʁ ẽ d i ʎ e j ɾ ɐ
RENDIMENTO	ʁ ẽ d i m ẽ t u
RENDIMENTOS	ʁ ẽ d i m ẽ t u ʃ
RENDINHA	ʁ ẽ d i ɲ ɐ
RENDIÇÃO	ʁ ẽ d i s ɐ̃ w
RENDÁVEL	ʁ ẽ d ɐ v ɛ l
RENITE	ʁ e n i t i
RENITENTE	ʁ e n i t ẽ t i
RENITENTES	ʁ e n i t ẽ t i ʃ
RENOMADÍSSIMO	ʁ e n o m ɐ d i s i m u
RENOVÁVEL	ʁ e n o v ɐ v ɛ l
RENTABILIDADE	ʁ ẽ t ɐ b i l i d ɐ d i
RENTABILIDADES	ʁ ẽ t ɐ b i l i d ɐ d i ʃ
RENTE	ʁ ẽ t i
RENTES	ʁ ẽ t i ʃ
RENTINHO	ʁ ẽ t i ɲ u
RENTISTA	ʁ ẽ t i ʃ t ɐ
RENTÁVEL	ʁ ẽ t ɐ v ɛ l
RENUNCIANTE	ʁ e n ũ s i ɐ̃ t i
REORIENTE	ʁ e o ɾ i ẽ t i
REP	ʁ e p i
REPARATIVO	ʁ e p ɐ ɾ ɐ t i v u
REPARTE	ʁ e p ɐ ɾ t i
REPARTI	ʁ e p ɐ ɾ t i
REPARTIA	ʁ e p ɐ ɾ t i ɐ
REPARTIAM	ʁ e p ɐ ɾ t i ɐ̃ w
REPARTIDA	ʁ e p ɐ ɾ t i d ɐ
REPARTIDAS	ʁ e p ɐ ɾ t i d ɐ ʃ
REPARTIDO	ʁ e p ɐ ɾ t i d u
REPARTIDOR	ʁ e p ɐ ɾ t i d o ɾ
REPARTIDOS	ʁ e p ɐ ɾ t i d u ʃ
REPARTIMENTO	ʁ e p ɐ ɾ t i m ẽ t u
REPARTIMENTOS	ʁ e p ɐ ɾ t i m ẽ t u ʃ
REPARTIMOS	ʁ e p ɐ ɾ t i m u ʃ
REPARTINDO	ʁ e p ɐ ɾ t ĩ d u
REPARTINDO-SE	ʁ e p ɐ ɾ t ĩ d u s i
REPARTIR	ʁ e p ɐ ɾ t i ɾ
REPARTIRAM	ʁ e p ɐ ɾ t i ɾ ɐ̃ w
REPARTIREM	ʁ e p ɐ ɾ t i ɾ ẽ
REPARTIRIA	ʁ e p ɐ ɾ t i ɾ i ɐ
REPARTISSE	ʁ e p ɐ ɾ t i s i
REPARTISSEM	ʁ e p ɐ ɾ t i s ẽ
REPARTIU	ʁ e p ɐ ɾ t i w
REPARTIÇÃO	ʁ e p ɐ ɾ t i s ɐ̃ w
REPARTIÇÕES	ʁ e p ɐ ɾ t i s õ j ʃ
REPARTÍEIS	ʁ e p ɐ ɾ t i e j ʃ
REPARÁVEL	ʁ e p ɐ ɾ ɐ v ɛ l
REPEDIR	ʁ e p e d i ɾ
REPELENTE	ʁ e p e l ẽ t i
REPELENTES	ʁ e p e l ẽ t i ʃ
REPENTE	ʁ e p ẽ t i
REPENTEMENTE	ʁ e p ẽ t i m ẽ t i
REPENTES	ʁ e p ẽ t i ʃ
REPENTINA	ʁ e p ẽ t i n ɐ
REPENTINAMENTE	ʁ e p ẽ t i n ɐ m ẽ t i
REPENTINAS	ʁ e p ẽ t i n ɐ ʃ
REPENTINO	ʁ e p ẽ t i n u
REPENTINOS	ʁ e p ẽ t i n u ʃ
REPENTISTA	ʁ e p ẽ t i ʃ t ɐ
REPENTISTAS	ʁ e p ẽ t i ʃ t ɐ ʃ
REPERCUTE	ʁ e p e ɾ k u t i
REPERCUTIA	ʁ e p e ɾ k u t i ɐ
REPERCUTIAM	ʁ e p e ɾ k u t i ɐ̃ w
REPERCUTIDO	ʁ e p e ɾ k u t i d u
REPERCUTIMOS	ʁ e p e ɾ k u t i m u ʃ
REPERCUTINDO	ʁ e p e ɾ k u t ĩ d u
REPERCUTIR	ʁ e p e ɾ k u t i ɾ
REPERCUTIRAM	ʁ e p e ɾ k u t i ɾ ɐ̃ w
REPERCUTIRÁ	ʁ e p e ɾ k u t i ɾ ɐ
REPERCUTIRÃO	ʁ e p e ɾ k u t i ɾ ɐ̃ w
REPERCUTIU	ʁ e p e ɾ k u t i w
REPETE	ʁ e p ɛ t i
REPETENTE	ʁ e p e t ẽ t i
REPETENTES	ʁ e p e t ẽ t i ʃ
REPETI	ʁ e p e t i
REPETIA	ʁ e p e t i ɐ
REPETIA-SE	ʁ e p e t i ɐ s i
REPETIAM	ʁ e p e t i ɐ̃ w
REPETIBILIDADE	ʁ e p e t i b i l i d ɐ d i
REPETIDA	ʁ e p e t i d ɐ
REPETIDAMENTE	ʁ e p e t i d ɐ m ẽ t i
REPETIDAS	ʁ e p e t i d ɐ ʃ
REPETIDO	ʁ e p e t i d u
REPETIDOR	ʁ e p e t i d o ɾ
REPETIDORA	ʁ e p e t i d o ɾ ɐ
REPETIDORAS	ʁ e p e t i d o ɾ ɐ ʃ
REPETIDORES	ʁ e p e t i d ɔ ɾ i ʃ
REPETIDOS	ʁ e p e t i d u ʃ
REPETIMOS	ʁ e p e t i m u ʃ
REPETINDO	ʁ e p e t ĩ d u
REPETIR	ʁ e p e t i ɾ
REPETIR-SE	ʁ e p e t i ɾ s i
REPETIRA	ʁ e p e t i ɾ ɐ
REPETIRAM	ʁ e p e t i ɾ ɐ̃ w
REPETIREI	ʁ e p e t i ɾ e j
REPETIREM	ʁ e p e t i ɾ ẽ
REPETIREMOS	ʁ e p e t i ɾ e m u ʃ
REPETIRIA	ʁ e p e t i ɾ i ɐ
REPETIRMOS	ʁ e p e t i ɾ m u ʃ
REPETIRÁ	ʁ e p e t i ɾ ɐ
REPETIRÃO	ʁ e p e t i ɾ ɐ̃ w
REPETIS	ʁ e p e t i ʃ
REPETISSE	ʁ e p e t i s i
REPETISSEM	ʁ e p e t i s ẽ
REPETITIVA	ʁ e p e t i t i v ɐ
REPETITIVAS	ʁ e p e t i t i v ɐ ʃ
REPETITIVO	ʁ e p e t i t i v u
REPETITIVOS	ʁ e p e t i t i v u ʃ
REPETIU	ʁ e p e t i w
REPETIÇÃO	ʁ e p e t i s ɐ̃ w
REPETIÇÕES	ʁ e p e t i s õ j ʃ
REPETÍAMOS	ʁ e p e t i ɐ m u ʃ
REPETÍVEL	ʁ e p e t i v ɛ l
REPIQUETE	ʁ e p i k ɛ t i
REPLANTE	ʁ e p l ɐ̃ t i
REPLANTIO	ʁ e p l ɐ̃ t i u
REPLETA	ʁ e p l ɛ t ɐ
REPLETAS	ʁ e p l ɛ t ɐ s
REPLETO	ʁ e p l ɛ t u
REPLETOS	ʁ e p l ɛ t u s
REPLICABILIDADE	ʁ e p l i k ɐ b i l i d ɐ d i
REPLICANTE	ʁ e p l i k ɐ̃ t i
REPLICÁVEL	ʁ e p l i k ɐ v ɛ l
REPOLHOS	ʁ e p o ʎ u s
REPORTE	ʁ e p ɔ ɾ t i
REPORTES	ʁ e p ɔ ɾ t i ʃ
REPOSTA	ʁ e p o s t ɐ
REPOSTAS	ʁ e p o s t ɐ s
REPOSTO	ʁ e p o s t u
REPOUSANTE	ʁ e p o w z ɐ̃ t i
REPREENDE	ʁ e p ɾ e ẽ d i
REPREENDI	ʁ e p ɾ e ẽ d i
REPREENDIA	ʁ e p ɾ e ẽ d i ɐ
REPREENDIAM	ʁ e p ɾ e ẽ d i ɐ̃ w
REPREENDIDA	ʁ e p ɾ e ẽ d i d ɐ
REPREENDIDO	ʁ e p ɾ e ẽ d i d u
REPREENDIDOS	ʁ e p ɾ e ẽ d i d u ʃ
REPREENSÍVEL	ʁ e p ɾ e ẽ s i v ɛ l
REPRESENTACIONAL	ʁ e p ɾ e z ẽ t ɐ s i o n ɐ l
REPRESENTANTE	ʁ e p ɾ e z ẽ t ɐ̃ t i
REPRESENTANTES	ʁ e p ɾ e z ẽ t ɐ̃ t i ʃ
REPRESENTATIVA	ʁ e p ɾ e z ẽ t ɐ t i v ɐ
REPRESENTATIVAS	ʁ e p ɾ e z ẽ t ɐ t i v ɐ ʃ
REPRESENTATIVIDADE	ʁ e p ɾ e z ẽ t ɐ t i v i d ɐ d i
REPRESENTATIVIDADES	ʁ e p ɾ e z ẽ t ɐ t i v i d ɐ d i ʃ
REPRESENTATIVO	ʁ e p ɾ e z ẽ t ɐ t i v u
REPRESENTATIVOS	ʁ e p ɾ e z ẽ t ɐ t i v u ʃ
REPRESENTE	ʁ e p ɾ e z ẽ t i
REPRESENTES	ʁ e p ɾ e z ẽ t i ʃ
REPRESENTÁVEL	ʁ e p ɾ e z ẽ t ɐ v ɛ l
REPRESOS	ʁ e p ɾ e z u s
REPRODUTIBILIDADE	ʁ e p ɾ o d u t i b i l i d ɐ d i
REPRODUTIVA	ʁ e p ɾ o d u t i v ɐ
REPRODUTIVAS	ʁ e p ɾ o d u t i v ɐ ʃ
REPRODUTIVO	ʁ e p ɾ o d u t i v u
REPRODUTIVOS	ʁ e p ɾ o d u t i v u ʃ
REPRODUTÍVEL	ʁ e p ɾ o d u t i v ɛ l
REPRODUZÍVEL	ʁ e p ɾ o d u z i v ɛ l
REPROVÁVEL	ʁ e p ɾ o v ɐ v ɛ l
REPTANTES	ʁ e p i t ɐ̃ t i ʃ
REPTIL	ʁ e p i t i l
REPTILIANO	ʁ e p i t i l i ɐ n u
REPTIS	ʁ e p i t i ʃ
REPUDIA	ʁ e p u d i ɐ
REPUDIADA	ʁ e p u d i ɐ d ɐ
REPUDIADAS	ʁ e p u d i ɐ d ɐ ʃ
REPUDIADO	ʁ e p u d i ɐ d u
REPUDIADOS	ʁ e p u d i ɐ d u ʃ
REPUDIAM	ʁ e p u d i ɐ̃ w
REPUDIAMOS	ʁ e p u d i ɐ m u ʃ
REPUDIANDO	ʁ e p u d i ɐ̃ d u
REPUDIANTE	ʁ e p u d i ɐ̃ t i
REPUDIAR	ʁ e p u d i ɐ ɾ
REPUDIARAM	ʁ e p u d i ɐ ɾ ɐ̃ w
REPUDIAVA	ʁ e p u d i ɐ v ɐ
REPUDIAVAM	ʁ e p u d i ɐ v ɐ̃ w
REPUDIO	ʁ e p u d i u
REPUDIOU	ʁ e p u d i o w
REPUGNANTE	ʁ e p u ɡ i n ɐ̃ t i
REPUGNANTEMENTE	ʁ e p u ɡ i n ɐ̃ t i m ẽ t i
REPUGNANTES	ʁ e p u ɡ i n ɐ̃ t i ʃ
REPUTE	ʁ e p u t i
REPÚDIO	ʁ e p u d i u
REQUEBROS	ʁ e k e b ɾ u s
REQUER	ʁ e k ɛ ɾ
REQUERE	ʁ e k ɛ ɾ i
REQUEREM	ʁ e k ɛ ɾ ẽ
REQUERENTE	ʁ e k e ɾ ẽ t i
REQUERENTES	ʁ e k e ɾ ẽ t i ʃ
REQUESTE	ʁ e k ɛ s tʃ i
REQUINTE	ʁ e k ĩ t i
REQUINTES	ʁ e k ĩ t i ʃ
REQUISITANTE	ʁ e k i z i t ɐ̃ t i
RESCENDE	ʁ e s ẽ d i
RESCENDENTE	ʁ e s ẽ d ẽ t i
RESCENDIA	ʁ e s ẽ d i ɐ
RESCENDIAM	ʁ e s ẽ d i ɐ̃ w
RESCINDE	ʁ e s ĩ d i
RESCINDIDO	ʁ e s ĩ d i d u
RESCINDIR	ʁ e s ĩ d i ɾ
RESCINDIU	ʁ e s ĩ d i w
RESENDE	ʁ e z ẽ d i
RESERVADAMENTE	ʁ e z e ɾ v ɐ d ɐ m ẽ t i
RESGATE	ʁ e z ɡ ɐ t i
RESGATES	ʁ e z ɡ ɐ t i ʃ
RESGATÁVEL	ʁ e z ɡ ɐ t ɐ v ɛ l
RESGUARDE	ʁ e z ɡ w ɐ ɾ d i
RESIDE	ʁ e z i d i
RESIDENCIAL	ʁ e z i d ẽ s i ɐ l
RESIDENTE	ʁ e z i d ẽ t i
RESIDENTES	ʁ e z i d ẽ t i ʃ
RESIDES	ʁ e z i d i ʃ
RESIDIA	ʁ e z i d i ɐ
RESIDIAM	ʁ e z i d i ɐ̃ w
RESIDIDO	ʁ e z i d i d u
RESIDIMOS	ʁ e z i d i m u ʃ
RESIDINDO	ʁ e z i d ĩ d u
RESIDIR	ʁ e z i d i ɾ
RESIDIRAM	ʁ e z i d i ɾ ɐ̃ w
RESIDIREM	ʁ e z i d i ɾ ẽ
RESIDIRIAM	ʁ e z i d i ɾ i ɐ̃ w
RESIDIU	ʁ e z i d i w
RESIDUAL	ʁ e z i d w ɐ l
RESIDÍAMOS	ʁ e z i d i ɐ m u ʃ
RESIGNADAMENTE	ʁ e z i ɡ i n ɐ d ɐ m ẽ t i
RESILIENTE	ʁ e z i l i ẽ t i
RESILIENTES	ʁ e z i l i ẽ t i ʃ
RESOLUBILIDADE	ʁ e z o l u b i l i d ɐ d i
RESOLUTAMENTE	ʁ e z o l u t ɐ m ẽ t i
RESOLUTIVA	ʁ e z o l u t i v ɐ
RESOLUTIVAS	ʁ e z o l u t i v ɐ ʃ
RESOLUTIVO	ʁ e z o l u t i v u
RESOLVA	ʁ e z o w v ɐ
RESOLVAM	ʁ e z o w v ɐ̃ w
RESOLVAS	ʁ e z o w v ɐ s
RESOLVENTE	ʁ e z o w v ẽ t i
RESOLVO	ʁ e z o w v u
RESOLVÍVEL	ʁ e z o w v i v ɛ l
RESOLÚVEL	ʁ e z o l u v ɛ l
RESORT	ʁ e z ɔ ɾ t i
RESSALTE	ʁ e s ɐ w t i
RESSENTE	ʁ e s ẽ t i
RESSENTE-SE	ʁ e s ẽ t i s i
RESSENTIA	ʁ e s ẽ t i ɐ
RESSENTIAM	ʁ e s ẽ t i ɐ̃ w
RESSENTIDA	ʁ e s ẽ t i d ɐ
RESSENTIDAS	ʁ e s ẽ t i d ɐ ʃ
RESSENTIDO	ʁ e s ẽ t i d u
RESSENTIDOS	ʁ e s ẽ t i d u ʃ
RESSENTIMENTO	ʁ e s ẽ t i m ẽ t u
RESSENTIMENTOS	ʁ e s ẽ t i m ẽ t u ʃ
RESSENTINDO	ʁ e s ẽ t ĩ d u
RESSENTIR	ʁ e s ẽ t i ɾ
RESSENTIU	ʁ e s ẽ t i w
RESSOANTES	ʁ e s o ɐ̃ t i ʃ
RESSONANTE	ʁ e s o n ɐ̃ t i
RESSONANTES	ʁ e s o n ɐ̃ t i ʃ
RESSUSCITE	ʁ e s u s i t i
RESTOLHOS	ʁ e s t o ʎ u s
RESULTANTE	ʁ e z u w t ɐ̃ t i
RESULTANTES	ʁ e z u w t ɐ̃ t i ʃ
RESULTE	ʁ e z u w t i
RESVALANTES	ʁ e z v ɐ l ɐ̃ t i ʃ
RESVERATROL	ʁ e z v e ɾ ɐ t ɾ ɔ l
RETA	ʁ ɛ t ɐ
RETAL	ʁ e t ɐ l
RETAMENTE	ʁ ɛ t ɐ m ẽ t i
RETARDE	ʁ e t ɐ ɾ d i
RETAS	ʁ ɛ t ɐ s
RETENDE	ʁ e t ẽ d i
RETENTIVA	ʁ e t ẽ t i v ɐ
RETENTIVO	ʁ e t ẽ t i v u
RETI	ʁ e t i
RETICENCIA	ʁ e t i s ẽ s i ɐ
RETICENCIAS	ʁ e t i s ẽ s i ɐ ʃ
RETICENTE	ʁ e t i s ẽ t i
RETICENTES	ʁ e t i s ẽ t i ʃ
RETICULADA	ʁ e t i k u l ɐ d ɐ
RETICULADO	ʁ e t i k u l ɐ d u
RETICULADOS	ʁ e t i k u l ɐ d u ʃ
RETICULANDO	ʁ e t i k u l ɐ̃ d u
RETICULAR	ʁ e t i k u l ɐ ɾ
RETICULARES	ʁ e t i k u l ɐ ɾ i ʃ
RETICULAÇÃO	ʁ e t i k u l ɐ s ɐ̃ w
RETICÊNCIA	ʁ e t i s ẽ s i ɐ
RETICÊNCIAS	ʁ e t i s ẽ s i ɐ ʃ
RETIDA	ʁ e t i d ɐ
RETIDAS	ʁ e t i d ɐ ʃ
RETIDO	ʁ e t i d u
RETIDOS	ʁ e t i d u ʃ
RETIDÃO	ʁ e t i d ɐ̃ w
RETIFICA	ʁ e t i f i k ɐ
RETIFICADA	ʁ e t i f i k ɐ d ɐ
RETIFICADAS	ʁ e t i f i k ɐ d ɐ ʃ
RETIFICADO	ʁ e t i f i k ɐ d u
RETIFICADOR	ʁ e t i f i k ɐ d o ɾ
RETIFICADORA	ʁ e t i f i k ɐ d o ɾ ɐ
RETIFICADORAS	ʁ e t i f i k ɐ d o ɾ ɐ ʃ
RETIFICADORES	ʁ e t i f i k ɐ d ɔ ɾ i ʃ
RETIFICADOS	ʁ e t i f i k ɐ d u ʃ
RETIFICAM	ʁ e t i f i k ɐ̃ w
RETIFICANDO	ʁ e t i f i k ɐ̃ d u
RETIFICAR	ʁ e t i f i k ɐ ɾ
RETIFICARAM	ʁ e t i f i k ɐ ɾ ɐ̃ w
RETIFICAVA	ʁ e t i f i k ɐ v ɐ
RETIFICAÇÃO	ʁ e t i f i k ɐ s ɐ̃ w
RETIFICAÇÕES	ʁ e t i f i k ɐ s õ j ʃ
RETIFICO	ʁ e t i f i k u
RETIFICOU	ʁ e t i f i k o w
RETIFICÁ	ʁ e t i f i k ɐ
RETIFICÁVEL	ʁ e t i f i k ɐ v ɛ l
RETIFIQUE	ʁ e t i f i k i
RETIFIQUEI	ʁ e t i f i k e j
RETILÍNEA	ʁ e t i l i n e ɐ
RETILÍNEAS	ʁ e t i l i n e ɐ ʃ
RETILÍNEO	ʁ e t i l i n j u
RETILÍNEOS	ʁ e t i l i n e u ʃ
RETINA	ʁ e t i n ɐ
RETINAL	ʁ e t i n ɐ l
RETINAS	ʁ e t i n ɐ ʃ
RETINE	ʁ e t i n i
RETINEM	ʁ e t i n ẽ
RETINGE	ʁ e t ĩ ʒ i
RETINHA	ʁ e t i ɲ ɐ
RETINHAM	ʁ e t i ɲ ɐ̃ w
RETINHO	ʁ e t i ɲ u
RETINHOS	ʁ e t i ɲ u ʃ
RETINIA	ʁ e t i n i ɐ
RETINIR	ʁ e t i n i ɾ
RETINITE	ʁ e t i n i t i
RETINOBLASTOMA	ʁ e t i n o b l ɐ ʃ t ɔ m ɐ
RETINOGRAFIA	ʁ e t i n o ɡ ɾ ɐ f i ɐ
RETINOL	ʁ e t i n ɔ l
RETINOPATIA	ʁ e t i n o p ɐ t i ɐ
RETINOSE	ʁ e t i n ɔ z i
RETINTIM	ʁ e t ĩ t ĩ
RETINTO	ʁ e t ĩ t u
RETIRA	ʁ e t i ɾ ɐ
RETIRA-SE	ʁ e t i ɾ ɐ s i
RETIRADA	ʁ e t i ɾ ɐ d ɐ
RETIRADAS	ʁ e t i ɾ ɐ d ɐ ʃ
RETIRADO	ʁ e t i ɾ ɐ d u
RETIRADOS	ʁ e t i ɾ ɐ d u ʃ
RETIRAM	ʁ e t i ɾ ɐ̃ w
RETIRAMOS	ʁ e t i ɾ ɐ m u ʃ
RETIRANDO	ʁ e t i ɾ ɐ̃ d u
RETIRANDO-SE	ʁ e t i ɾ ɐ̃ d u s i
RETIRANTE	ʁ e t i ɾ ɐ̃ t i
RETIRANTES	ʁ e t i ɾ ɐ̃ t i ʃ
RETIRAR	ʁ e t i ɾ ɐ ɾ
RETIRAR-ME	ʁ e t i ɾ ɐ ɾ m i
RETIRAR-SE	ʁ e t i ɾ ɐ ɾ s i
RETIRARA	ʁ e t i ɾ ɐ ɾ ɐ
RETIRARAM	ʁ e t i ɾ ɐ ɾ ɐ̃ w
RETIRARAM-SE	ʁ e t i ɾ ɐ ɾ ɐ̃ w s i
RETIRAREI	ʁ e t i ɾ ɐ ɾ e j
RETIRAREM	ʁ e t i ɾ ɐ ɾ ẽ
RETIRAREMOS	ʁ e t i ɾ ɐ ɾ e m u ʃ
RETIRARES	ʁ e t i ɾ ɐ ɾ i ʃ
