ㄱ	k i jʌ k
증시를	ʨ ɯ ŋ s i r ɯ l
증시에	ʨ ɯ ŋ s i e
증식	ʨ ɯ ŋ s i k
증식을	ʨ ɯ ŋ s i g ɯ l
증식이	ʨ ɯ ŋ s i g i
증액	ʨ ɯ ŋ ɛ k
증언	ʨ ɯ ŋ ʌ n
증언에	ʨ ɯ ŋ ʌ n e
증언은	ʨ ɯ ŋ ʌ n ɯ n
증언을	ʨ ɯ ŋ ʌ n ɯ l
증언이	ʨ ɯ ŋ ʌ n i
증언하고	ʨ ɯ ŋ ʌ n x a g o
증언하는	ʨ ɯ ŋ ʌ n x a n ɯ n
증에	ʨ ɯ ŋ e
증여	ʨ ɯ ŋ jʌ
증여로	ʨ ɯ ŋ jʌ r o
증여를	ʨ ɯ ŋ jʌ r ɯ l
증여받은	ʨ ɯ ŋ jʌ b a d ɯ n
증여세	ʨ ɯ ŋ jʌ ss e
증여세를	ʨ ɯ ŋ jʌ s e r ɯ l
증여세법	ʨ ɯ ŋ jʌ ss e bb ʌ p
증오	ʨ ɯ ŋ o
증오의	ʨ ɯ ŋ o e
증을	ʨ ɯ ŋ ɯ l
증이	ʨ ɯ ŋ i
증인	ʨ ɯ ŋ i n
증인들이	ʨ ɯ ŋ i n d ɯ r i
증인으로	ʨ ɯ ŋ i n ɯ r o
증인은	ʨ ɯ ŋ i n ɯ n
증인의	ʨ ɯ ŋ i n i
증인이	ʨ ɯ ŋ i n i
증자	ʨ ɯ ŋ ʣ a
증점	ʨ ɯ ŋ ʣ ʌ m
증정	ʨ ɯ ŋ ʣ ʌ ŋ
증조	ʨ ɯ ŋ ʣ o
증진	ʨ ɯ ŋ ʣ i n
증진을	ʨ ɯ ŋ ʣ i n ɯ l
증폭	ʨ ɯ ŋ pʰ o k
증표	ʨ ɯ ŋ pʰ jo
증후군	ʨ ɯ ŋ x u g u n
증후군이	ʨ ɯ ŋ x u g u n i
지	ʨ i
지가	ʨ i gg a
지가이	ʨ i gg a i
지각	ʨ i g a k
지각을	ʨ i g a g ɯ l
지각의	ʨ i g a g e
지각이	ʨ i g a g i
지간	ʨ i g a n
지간에	ʨ i g a n e
지갑	ʨ i g a p
지갑에	ʨ i g a b e
지갑을	ʨ i g a b ɯ l
지갑이	ʨ i g a b i
지거	ʨ i g ʌ
지거나	ʨ i g ʌ n a
지거든	ʨ i g ʌ d ɯ n
지거든요	ʨ i g ʌ d ɯ n jo
지검	ʨ i g ʌ m
지게	ʨ i g e
지게차	ʨ i g e ʨʰ a
지게차가	ʨ i g e ʨʰ a g a
지겠다	ʨ i g e t dd a
지겠습니다	ʨ i g e t ss ɯ m n i d a
지겠죠	ʨ i g e t ʨ jo
지겠지	ʨ i g e t ʨ i
지겠지만	ʨ i g e t ʨ i m a n
지겨운	ʨ i g jʌ u n
지겨워	ʨ i g jʌ wʌ
지겹다	ʨ i g jʌ p dd a
지경까지	ʨ i g jʌ ŋ gg a ʣ i
지경에	ʨ i g jʌ ŋ e
지경으로	ʨ i g jʌ ŋ ɯ r o
지경을	ʨ i g jʌ ŋ ɯ l
지경이	ʨ i g jʌ ŋ i
지고	ʨ i g o
지고요	ʨ i g o jo
지관	ʨ i g wa n
지구	ʨ i g u
지구가	ʨ i g u g a
지구나	ʨ i g u n a
지구는	ʨ i g u n ɯ n
지구단위	ʨ i g u d a n wi
지구당	ʨ i g u d a ŋ
지구도	ʨ i g u d o
지구력이	ʨ i g u r jʌ g i
지구로	ʨ i g u r o
지구를	ʨ i g u r ɯ l
지구상에	ʨ i g u s a ŋ e
지구상에서	ʨ i g u s a ŋ e s ʌ
지구상의	ʨ i g u s a ŋ i
지구에	ʨ i g u e
지구에서	ʨ i g u e s ʌ
지구와	ʨ i g u wa
지구요	ʨ i g u jo
지구의	ʨ i g u e
지구인류	ʨ i g u i l l ju
지구촌	ʨ i g u ʨʰ o n
지그	ʨ i g ɯ
지그시	ʨ i g ɯ s i
지그재그	ʨ i g ɯ ʣ ɛ g ɯ
지그재그로	ʨ i g ɯ ʣ e g ɯ r o
지극	ʨ i g ɯ k
지극한	ʨ i g ɯ kʰ a n
지극히	ʨ i g ɯ kʰ i
지금	ʨ i g ɯ m
지금같은	ʨ i g ɯ m g a tʰ ɯ n
지금같이	ʨ i g ɯ m g a ʨʰ i
지금과	ʨ i g ɯ m g wa
지금까	ʨ i g ɯ m gg a
지금까지	ʨ i g ɯ m gg a ʣ i
지금까지는	ʨ i g ɯ m gg a ʣ i n ɯ n
지금까지도	ʨ i g ɯ m gg a ʣ i d o
지금까지의	ʨ i g ɯ m gg a ʣ i e
지금껏	ʨ i g ɯ m gg ʌ t
지금도	ʨ i g ɯ m d o
지금만	ʨ i g ɯ m m a n
지금보니까	ʨ i g ɯ m b o n i gg a
지금보다	ʨ i g ɯ m b o d a
지금보다는	ʨ i g ɯ m b o d a n ɯ n
지금부터	ʨ i g ɯ m b u tʰ ʌ
지금부터는	ʨ i g ɯ m b u tʰ ʌ n ɯ n
지금부터라도	ʨ i g ɯ m b u tʰ ʌ r a d o
지금에	ʨ i g ɯ m e
지금와서	ʨ i g ɯ m wa s ʌ
지금요	ʨ i g ɯ m jo
지금으로	ʨ i g ɯ m ɯ r o
지금으로부터	ʨ i g ɯ m ɯ r o b u tʰ ʌ
지금은	ʨ i g ɯ m ɯ n
지금은이	ʨ i g ɯ m ɯ n i
지금을	ʨ i g ɯ m ɯ l
지금의	ʨ i g ɯ m i
지금이	ʨ i g ɯ m i
지금이나	ʨ i g ɯ m i n a
지금이다	ʨ i g ɯ m i d a
지금이라도	ʨ i g ɯ m i r a d o
지금이랑	ʨ i g ɯ m i r a ŋ
지금이야	ʨ i g ɯ m i ja
지금쯤	ʨ i g ɯ m ʨ ɯ m
지금처럼	ʨ i g ɯ m ʨʰ ʌ r ʌ m
지금하고	ʨ i g ɯ m x a g o
지급	ʨ i g ɯ p
지급되는	ʨ i g ɯ p dd we n ɯ n
지급된	ʨ i g ɯ p dd ø n
지급받는	ʨ i g ɯ p bb a n n ɯ n
지급불능	ʨ i g ɯ p b u l l ɯ ŋ
지급사유가	ʨ i g ɯ p ss a ju g a
지급에	ʨ i g ɯ b e
지급을	ʨ i g ɯ b ɯ l
지급이	ʨ i g ɯ b i
지급이자	ʨ i g ɯ b i ʣ a
지급하고	ʨ i g ɯ pʰ a g o
지급하는	ʨ i g ɯ pʰ a n ɯ n
지급하지	ʨ i g ɯ pʰ a ʣ i
지급한	ʨ i g ɯ pʰ a n
지급할	ʨ i g ɯ pʰ a l
지급해	ʨ i g ɯ pʰ ɛ
지급해야	ʨ i g ɯ p h ɛ ja
지긋이	ʨ i g ɯ s i
지긋지긋한	ʨ i g ɯ t ʨʨ i g ɯ tʰ a n
지기	ʨ i g i
지기가	ʨ i g i g a
지기도	ʨ i g i d o
지기를	ʨ i g i r ɯ l
지기에	ʨ i g i e
지긴	ʨ i g i n
지길	ʨ i g i l
지끈	ʨ i gg ɯ n
지나	ʨ i n a
지나가	ʨ i n a g a
지나가게	ʨ i n a g a g e
지나가고	ʨ i n a g a g o
지나가기	ʨ i n a g a g i
지나가는	ʨ i n a g a n ɯ n
지나가는데	ʨ i n a g a n ɯ n d e
지나가니까	ʨ i n a g a n i gg a
지나가다	ʨ i n a g a d a
지나가다가	ʨ i n a g a d a g a
지나가던	ʨ i n a g a d ʌ n
지나가도	ʨ i n a g a d o
지나가도록	ʨ i n a g a d o r o k
지나가면	ʨ i n a g a m jʌ n
지나가면서	ʨ i n a g a m jʌ n s ʌ
지나가서	ʨ i n a g a s ʌ
지나가야	ʨ i n a g a ja
지나가요	ʨ i n a g a jo
지나가지	ʨ i n a g a ʣ i
지나간	ʨ i n a g a n
지나간다	ʨ i n a g a n d a
지나갈	ʨ i n a g a l
지나갑니다	ʨ i n a g a m n i d a
지나갔는데	ʨ i n a g a n n ɯ n d e
지나갔다	ʨ i n a g a t dd a
지나갔던	ʨ i n a g a t dd ʌ n
지나갔습니다	ʨ i n a g a t ss ɯ m n i d a
지나갔어요	ʨ i n a g a ss ʌ jo
지나게	ʨ i n a g e
지나고	ʨ i n a g o
지나기	ʨ i n a g i
지나는	ʨ i n a n ɯ n
지나니	ʨ i n a n i
지나니까	ʨ i n a n i gg a
지나다	ʨ i n a d a
지나다가	ʨ i n a d a g a
지나다니는	ʨ i n a d a n i n ɯ n
지나도	ʨ i n a d o
지나도록	ʨ i n a d o r o k
지나며	ʨ i n a m jʌ
지나면	ʨ i n a m jʌ n
지나면서	ʨ i n a m jʌ n s ʌ
지나서	ʨ i n a s ʌ
지나야	ʨ i n a ja
지나온	ʨ i n a o n
지나요	ʨ i n a jo
지나자	ʨ i n a ʣ a
지나지	ʨ i n a ʣ i
지나쳐	ʨ i n a ʨʰ jʌ
지나치게	ʨ i n a ʨʰ i g e
지나치는	ʨ i n a ʨʰ i n ɯ n
지나치면	ʨ i n a ʨʰ i m jʌ n
지나치지	ʨ i n a ʨʰ i ʣ i
지나친	ʨ i n a ʨʰ i n
지나칠	ʨ i n a ʨʰ i l
지난	ʨ i n a n
지난날	ʨ i n a n n a l
지난달	ʨ i n a n d a l
지난달에	ʨ i n a n d a r e
지난번	ʨ i n a n b ʌ n
지난번에	ʨ i n a n b ʌ n e
지난번에는	ʨ i n a n b ʌ n e n ɯ n
지난번에도	ʨ i n a n b ʌ n e d o
지난일	ʨ i n a n n i l
지난주	ʨ i n a n ʣ u
지난주에	ʨ i n a n ʣ u e
지난주에는	ʨ i n a n ʣ u e n ɯ n
지난주에도	ʨ i n a n ʣ u e d o
지난해	ʨ i n a n x ɛ
지난해부터	ʨ i n a n x ɛ b u tʰ ʌ
지날	ʨ i n a l
지날수록	ʨ i n a l s u r o k
지날지	ʨ i n a l ʨʨ i
지남에	ʨ i n a m e
지났고	ʨ i n a t gg o
지났는데	ʨ i n a n n ɯ n d e
지났는데도	ʨ i n a n n ɯ n d e d o
지났다	ʨ i n a t dd a
지났습니다	ʨ i n a t ss ɯ m n i d a
지났어	ʨ i n a ss ʌ
지났어요	ʨ i n a ss ʌ jo
지났으니까	ʨ i n a ss ɯ n i gg a
지났을	ʨ i n a ss ɯ l
지났지만	ʨ i n a t ʨ i m a n
지내	ʨ i n ɛ
지내게	ʨ i n e g e
지내고	ʨ i n ɛ g o
지내기	ʨ i n ɛ g i
지내는	ʨ i n ɛ n ɯ n
지내는데	ʨ i n ɛ n ɯ n d e
지내다	ʨ i n ɛ d a
지내다가	ʨ i n e d a g a
지내던	ʨ i n ɛ d ʌ n
지내도	ʨ i n ɛ d o
지내도록	ʨ i n e d o r o k
지내려고	ʨ i n ɛ r jʌ g o
지내며	ʨ i n e m jʌ
지내면	ʨ i n ɛ m jʌ n
지내면서	ʨ i n ɛ m jʌ n s ʌ
지내서	ʨ i n ɛ s ʌ
지내세요	ʨ i n ɛ s e jo
지내셨나요	ʨ i n ɛ s jʌ n n a jo
지내셨어요	ʨ i n ɛ s jʌ ss ʌ jo
지내야	ʨ i n ɛ ja
지내온	ʨ i n ɛ o n
지내요	ʨ i n ɛ jo
지내자	ʨ i n ɛ ʣ a
지내지	ʨ i n ɛ ʣ i
지낸	ʨ i n ɛ n
지낸다	ʨ i n e n d a
지낼	ʨ i n ɛ l
지냅니다	ʨ i n e m n i d a
지냈고	ʨ i n ɛ t gg o
지냈는데	ʨ i n e n n ɯ n d e
지냈다	ʨ i n ɛ t dd a
지냈다고	ʨ i n ɛ t dd a g o
지냈던	ʨ i n ɛ t dd ʌ n
지냈습니다	ʨ i n ɛ t ss ɯ m n i d a
지냈어	ʨ i n ɛ ss ʌ
지냈으면	ʨ i n ɛ ss ɯ m jʌ n
지네	ʨ i n e
지네요	ʨ i n e jo
지녀	ʨ i n jʌ
지느러미	ʨ i n ɯ r ʌ m i
지느러미가	ʨ i n ɯ r ʌ m i g a
지는	ʨ i n ɯ n
지는가	ʨ i n ɯ n g a
지는거	ʨ i n ɯ n g ʌ
지는것	ʨ i n ɯ n g ʌ t
지는게	ʨ i n ɯ n g e
지는구나	ʨ i n ɯ n g u n a
지는데	ʨ i n ɯ n d e
지는데요	ʨ i n ɯ n d e jo
지는지	ʨ i n ɯ n ʣ i
지능	ʨ i n ɯ ŋ
지능과	ʨ i n ɯ ŋ g wa
지능을	ʨ i n ɯ ŋ ɯ l
지능이	ʨ i n ɯ ŋ i
지능형	ʨ i n ɯ ŋ x jʌ ŋ
지니	ʨ i n i
지니게	ʨ i n i g e
지니고	ʨ i n i g o
지니까	ʨ i n i gg a
지니라	ʨ i n i r a
지닌	ʨ i n i n
지닙니다	ʨ i n i m n i d a
지다	ʨ i d a
지다가	ʨ i d a g a
지대	ʨ i d ɛ
지대가	ʨ i d ɛ g a
지대는	ʨ i d ɛ n ɯ n
지대로	ʨ i d ɛ r o
지대를	ʨ i d ɛ r ɯ l
지대한	ʨ i d e x a n
지더라	ʨ i d ʌ r a
지더라구요	ʨ i d ʌ r a g u jo
지더라도	ʨ i d ʌ r a d o
지던	ʨ i d ʌ n
지도	ʨ i d o
지도가	ʨ i d o g a
지도는	ʨ i d o n ɯ n
지도도	ʨ i d o d o
지도로	ʨ i d o r o
지도록	ʨ i d o r o k
지도를	ʨ i d o r ɯ l
지도부	ʨ i d o b u
지도안	ʨ i d o a n
지도에	ʨ i d o e
지도에서	ʨ i d o e s ʌ
지도와	ʨ i d o wa
지도자	ʨ i d o ʣ a
지도자가	ʨ i d o ʣ a g a
지도자급	ʨ i d o ʣ a gg ɯ p
지도자는	ʨ i d o ʣ a n ɯ n
지도자들	ʨ i d o ʣ a d ɯ l
지도자들은	ʨ i d o ʣ a d ɯ r ɯ n
지도자들을	ʨ i d o ʣ a d ɯ r ɯ l
지도자들의	ʨ i d o ʣ a d ɯ r e
지도자들이	ʨ i d o ʣ a d ɯ r i
지도자로	ʨ i d o ʣ a r o
지도자로서	ʨ i d o ʣ a r o s ʌ
지도자를	ʨ i d o ʣ a r ɯ l
지도자에	ʨ i d o ʣ a e
지도자의	ʨ i d o ʣ a i
지도하고	ʨ i d o x a g o
지도하는	ʨ i d o x a n ɯ n
지도할	ʨ i d o x a l
지도해	ʨ i d o x e
지독하게	ʨ i d o kʰ a g e
지독한	ʨ i d o kʰ a n
지동	ʨ i d o ŋ
지들	ʨ i d ɯ l
지들끼리	ʨ i d ɯ l gg i r i
지들이	ʨ i d ɯ r i
지듯이	ʨ i d ɯ s i
지라	ʨ i r a
지라고	ʨ i r a g o
지라는	ʨ i r a n ɯ n
지라도	ʨ i r a d o
지라시	ʨ i r a s i
지랄	ʨ i r a l
지랄을	ʨ i r a r ɯ l
지랄하고	ʨ i r a l x a g o
지랑	ʨ i r a ŋ
지렁이	ʨ i r ʌ ŋ i
지렁이가	ʨ i r ʌ ŋ i g a
지렛대	ʨ i r e t dd ɛ
지려	ʨ i r jʌ
지려고	ʨ i r jʌ g o
지려면	ʨ i r jʌ m jʌ n
지령을	ʨ i r jʌ ŋ ɯ l
지로	ʨ i r o
지뢰	ʨ i r ø
지뢰가	ʨ i r ø g a
지뢰를	ʨ i r ø r ɯ l
지루	ʨ i r u
지루하게	ʨ i r u x a g e
지루하고	ʨ i r u x a g o
지루하지	ʨ i r u x a ʣ i
지루한	ʨ i r u x a n
지루할	ʨ i r u x a l
지루해하고	ʨ i r u x e x a g o
지르	ʨ i r ɯ
지르게	ʨ i r ɯ g e
지르고	ʨ i r ɯ g o
지르기	ʨ i r ɯ g i
지르는	ʨ i r ɯ n ɯ n
지르며	ʨ i r ɯ m jʌ
지르면	ʨ i r ɯ m jʌ n
지르면서	ʨ i r ɯ m jʌ n s ʌ
지르지	ʨ i r ɯ ʣ i
지른	ʨ i r ɯ n
지를	ʨ i r ɯ l
지름	ʨ i r ɯ m
지름길	ʨ i r ɯ m gg i l
지름길이	ʨ i r ɯ m g i r i
지름을	ʨ i r ɯ m ɯ l
지름이	ʨ i r ɯ m i
지리	ʨ i r i
지리라	ʨ i r i r a
지리를	ʨ i r i r ɯ l
지리산	ʨ i r i s a n
지리적	ʨ i r i ʣ ʌ k
지리적으로	ʨ i r i ʣ ʌ g ɯ r o
지마	ʨ i m a
지막	ʨ i m a k
지만	ʨ i m a n
지망생	ʨ i m a ŋ s ɛ ŋ
지며	ʨ i m jʌ
지면	ʨ i m jʌ n
지면과	ʨ i m jʌ n g wa
지면서	ʨ i m jʌ n s ʌ
지면에	ʨ i m jʌ n e
지면은	ʨ i m jʌ n ɯ n
지면을	ʨ i m jʌ n ɯ l
지명	ʨ i m jʌ ŋ
지명을	ʨ i m jʌ ŋ ɯ l
지명이	ʨ i m jʌ ŋ i
지모	ʨ i m o
지목	ʨ i m o k
지목된	ʨ i m o k dd ø n
지목은	ʨ i m o g ɯ n
지목을	ʨ i m o g ɯ l
지목이	ʨ i m o g i
지문	ʨ i m u n
지문에	ʨ i m u n e
지문은	ʨ i m u n ɯ n
지문을	ʨ i m u n ɯ l
지문이	ʨ i m u n i
지민	ʨ i m i n
지민이	ʨ i m i n i
지바	ʨ i b a
지반이	ʨ i b a n i
지방	ʨ i b a ŋ
지방간	ʨ i b a ŋ g a n
지방과	ʨ i b a ŋ g wa
지방도	ʨ i b a ŋ d o
지방산	ʨ i b a ŋ s a n
지방산과	ʨ i b a ŋ s a n g wa
지방산은	ʨ i b a ŋ s a n ɯ n
지방산을	ʨ i b a ŋ s a n ɯ l
지방산의	ʨ i b a ŋ s a n i
지방산이	ʨ i b a ŋ s a n i
지방선거	ʨ i b a ŋ s ʌ n g ʌ
지방성	ʨ i b a ŋ ss ʌ ŋ
지방세	ʨ i b a ŋ ss e
지방세포	ʨ i b a ŋ s e pʰ o
지방세포가	ʨ i b a ŋ s e pʰ o g a
지방시	ʨ i b a ŋ s i
지방에	ʨ i b a ŋ e
지방에서	ʨ i b a ŋ e s ʌ
지방에서는	ʨ i b a ŋ e s ʌ n ɯ n
지방으로	ʨ i b a ŋ ɯ r o
지방은	ʨ i b a ŋ ɯ n
지방을	ʨ i b a ŋ ɯ l
지방의	ʨ i b a ŋ i
지방이	ʨ i b a ŋ i
지방이나	ʨ i b a ŋ i n a
지방이식	ʨ i b a ŋ i s i k
지방이식을	ʨ i b a ŋ i s i g ɯ l
지방자치단체	ʨ i b a ŋ ʣ a ʨʰ i d a n ʨʰ e
지방자치단체가	ʨ i b a ŋ ʣ a ʨʰ i d a n ʨʰ e g a
지배	ʨ i b ɛ
지배계급은	ʨ i b e g je g ɯ b ɯ n
지배를	ʨ i b ɛ r ɯ l
지배적인	ʨ i b e ʣ ʌ g i n
지배하게	ʨ i b ɛ x a g e
지배하고	ʨ i b ɛ x a g o
지배하는	ʨ i b e x a n ɯ n
지배하려고	ʨ i b ɛ x a r jʌ g o
지배한	ʨ i b ɛ x a n
지배한다	ʨ i b ɛ x a n d a
지배할	ʨ i b ɛ x a l
지배합니다	ʨ i b ɛ x a m n i d a
지번	ʨ i b ʌ n
지부	ʨ i b u
지분	ʨ i b u n
지분에	ʨ i b u n e
지분은	ʨ i b u n ɯ n
지분을	ʨ i b u n ɯ l
지분이	ʨ i b u n i
지불	ʨ i b u l
지불을	ʨ i b u r ɯ l
지불하고	ʨ i b u l x a g o
지불하는	ʨ i b u r x a n ɯ n
지불하지	ʨ i b u r x a ʣ i
지불해야	ʨ i b u l x ɛ ja
지붕	ʨ i b u ŋ
지붕에	ʨ i b u ŋ e
지붕은	ʨ i b u ŋ ɯ n
지붕을	ʨ i b u ŋ ɯ l
지붕이	ʨ i b u ŋ i
지사	ʨ i s a
지사가	ʨ i s a g a
지사는	ʨ i s a n ɯ n
지사를	ʨ i s a r ɯ l
지사의	ʨ i s a i
지산	ʨ i s a n
지상	ʨ i s a ŋ
지상권	ʨ i s a ŋ gg wʌ n
지상에	ʨ i s a ŋ e
지상에서	ʨ i s a ŋ e s ʌ
지상으로	ʨ i s a ŋ ɯ r o
지상을	ʨ i s a ŋ ɯ l
지상의	ʨ i s a ŋ i
지서	ʨ i s ʌ
지석영	ʨ i s ʌ ŋ n jʌ ŋ
지선	ʨ i s ʌ n
지성	ʨ i s ʌ ŋ
지성과	ʨ i s ʌ ŋ g wa
지성소에	ʨ i s ʌ ŋ s o e
지성을	ʨ i s ʌ ŋ ɯ l
지성이	ʨ i s ʌ ŋ i
지셔야	ʨ i s jʌ ja
지소	ʨ i s o
지속	ʨ i s o k
지속가능	ʨ i s o k g a n ɯ ŋ
지속가능성	ʨ i s o k g a n ɯ ŋ ss ʌ ŋ
지속가능한	ʨ i s o k gg a n ɯ ŋ x a n
지속되고	ʨ i s o k dd ø g o
지속되기를	ʨ i s o k dd we g i r ɯ l
지속되는	ʨ i s o k dd ø n ɯ n
지속되면	ʨ i s o k dd ø m jʌ n
지속되어	ʨ i s o k dd ø ʌ
지속된	ʨ i s o k dd ø n
지속될	ʨ i s o k dd ø l
지속력	ʨ i s o ŋ n jʌ k
지속력도	ʨ i s o ŋ n jʌ k dd o
지속력이	ʨ i s o ŋ n jʌ g i
지속성이	ʨ i s o k ss ʌ ŋ i
지속이	ʨ i s o g i
지속적	ʨ i s o k ʨʨ ʌ k
지속적으로	ʨ i s o k ʨ ʌ g ɯ r o
지속적이고	ʨ i s o k ʨ ʌ g i g o
지속적인	ʨ i s o k ʨ ʌ g i n
지속하고	ʨ i s o kʰ a g o
지속하는	ʨ i s o kʰ a n ɯ n
지속할	ʨ i s o kʰ a l
지속해	ʨ i s o kʰ e
지속해서	ʨ i s o kʰ e s ʌ
지송	ʨ i s o ŋ
지수	ʨ i s u
지수가	ʨ i s u g a
지수는	ʨ i s u n ɯ n
지수로	ʨ i s u r o
지수를	ʨ i s u r ɯ l
지수에	ʨ i s u e
지수의	ʨ i s u i
지시	ʨ i s i
지시가	ʨ i s i g a
지시고	ʨ i s i g o
지시기	ʨ i s i g i
지시는	ʨ i s i n ɯ n
지시로	ʨ i s i r o
지시를	ʨ i s i r ɯ l
지시에	ʨ i s i e
지시하고	ʨ i s i x a g o
지시하는	ʨ i s i x a n ɯ n
지시한	ʨ i s i x a n
지식	ʨ i s i k
지식과	ʨ i s i k gg wa
지식도	ʨ i s i k dd o
지식들을	ʨ i s i k dd ɯ r ɯ l
지식들이	ʨ i s i k dd ɯ r i
지식백과	ʨ i s i k bb ɛ k gg wa
지식산업센터	ʨ i s i k s a n ʌ p ss e n tʰ ʌ
지식에	ʨ i s i g e
지식으로	ʨ i s i g ɯ r o
지식은	ʨ i s i g ɯ n
지식을	ʨ i s i g ɯ l
지식의	ʨ i s i g i
지식이	ʨ i s i g i
지식이나	ʨ i s i g i n a
지식인	ʨ i s i g i n
지식재산권	ʨ i s i k ʣ ɛ s a n gg wʌ n
지식적으로	ʨ i s i k ʨʨ ʌ g ɯ r o
지식적인	ʨ i s i k ʨ ʌ g i n
지신	ʨ i s i n
지실	ʨ i s i l
지심	ʨ i s i m
지아	ʨ i a
지아는	ʨ i a n ɯ n
지안	ʨ i a n
지압을	ʨ i a b ɯ l
지야	ʨ i ja
지양하고	ʨ i ja ŋ x a g o
지어	ʨ i ʌ
지어놓고	ʨ i ʌ n o kʰ o
지어다	ʨ i ʌ d a
지어도	ʨ i ʌ d o
지어서	ʨ i ʌ s ʌ
지어야	ʨ i ʌ ja
지어요	ʨ i ʌ jo
지어져	ʨ i ʌ ʣ jʌ
지어주고	ʨ i ʌ ʣ u g o
지어주는	ʨ i ʌ ʣ u n ɯ n
지어준	ʨ i ʌ ʣ u n
지어줘야	ʨ i ʌ ʣ wʌ ja
지어지고	ʨ i ʌ ʣ i g o
지어지는	ʨ i ʌ ʣ i n ɯ n
지어진	ʨ i ʌ ʣ i n
지어질	ʨ i ʌ ʣ i l
지언정	ʨ i ʌ n ʣ ʌ ŋ
지었고	ʨ i ʌ t gg o
지었기	ʨ i ʌ t gg i
지었는데	ʨ i ʌ n n ɯ n d e
지었는지	ʨ i ʌ n n ɯ n ʣ i
지었다	ʨ i ʌ t dd a
지었다고	ʨ i ʌ t dd a g o
지었다는	ʨ i ʌ t dd a n ɯ n
지었던	ʨ i ʌ t dd ʌ n
지었습니다	ʨ i ʌ t ss ɯ m n i d a
지었어	ʨ i ʌ ss ʌ
지었어요	ʨ i ʌ ss ʌ jo
지었으면	ʨ i ʌ ss ɯ m jʌ n
지었을	ʨ i ʌ ss ɯ l
지었죠	ʨ i ʌ t ʨ jo
지에	ʨ i e
지에도	ʨ i e d o
지에서	ʨ i e s ʌ
지에서는	ʨ i e s ʌ n ɯ n
지역	ʨ i jʌ k
지역간	ʨ i jʌ k gg a n
지역경제	ʨ i jʌ k g jʌ ŋ ʣ e
지역과	ʨ i jʌ k gg wa
지역구	ʨ i jʌ k gg u
지역권	ʨ i jʌ k gg wʌ n
지역까지	ʨ i jʌ k gg a ʣ i
지역도	ʨ i jʌ k dd o
지역들	ʨ i jʌ k dd ɯ l
지역들은	ʨ i jʌ k dd ɯ r ɯ n
지역들이	ʨ i jʌ k dd ɯ r i
지역마다	ʨ i jʌ ŋ m a d a
지역별	ʨ i jʌ k bb jʌ l
지역별로	ʨ i jʌ k bb jʌ l l o
지역보다	ʨ i jʌ k bb o d a
지역사회	ʨ i jʌ k s a x ø
지역사회에	ʨ i jʌ k s a x ø e
지역에	ʨ i jʌ g e
지역에는	ʨ i jʌ g e n ɯ n
지역에도	ʨ i jʌ g e d o
지역에서	ʨ i jʌ g e s ʌ
지역에서는	ʨ i jʌ g e s ʌ n ɯ n
지역에서도	ʨ i jʌ g e s ʌ d o
지역으로	ʨ i jʌ g ɯ r o
지역은	ʨ i jʌ g ɯ n
지역을	ʨ i jʌ g ɯ l
지역의	ʨ i jʌ g e
지역이	ʨ i jʌ g i
지역이고	ʨ i jʌ g i g o
지역이기	ʨ i jʌ g i g i
지역이기주의	ʨ i jʌ k i g i ʣ u i
지역이나	ʨ i jʌ g i n a
지역이다	ʨ i jʌ g i d a
지역이라	ʨ i jʌ g i r a
지역이라고	ʨ i jʌ g i r a g o
지역이에요	ʨ i jʌ g i e jo
지역이죠	ʨ i jʌ g i ʣ jo
지역인	ʨ i jʌ g i n
지역인데	ʨ i jʌ g i n d e
지역입니다	ʨ i jʌ g i m n i d a
지역자원시설세	ʨ i jʌ k ʣ a wʌ n s i s ʌ l s e
지역적	ʨ i jʌ k ʨʨ ʌ k
지역적으로	ʨ i jʌ k ʨʨ ʌ g ɯ r o
지역적인	ʨ i jʌ k ʨ ʌ g i n
지역주택조합	ʨ i jʌ k ʣ u tʰ ɛ k ʣ o x a p
지연	ʨ i jʌ n
지연되고	ʨ i jʌ n d ø g o
지연되는	ʨ i jʌ n d ø n ɯ n
지연이	ʨ i jʌ n i
지영	ʨ i jʌ ŋ
지예	ʨ i je
지오	ʨ i o
지오가	ʨ i o g a
지오메트리	ʨ i o m e tʰ ɯ r i
지옥	ʨ i o k
지옥가는	ʨ i o k gg a n ɯ n
지옥과	ʨ i o k gg wa
지옥도	ʨ i o k dd o
지옥에	ʨ i o g e
지옥에서	ʨ i o g e s ʌ
지옥으로	ʨ i o g ɯ r o
지옥은	ʨ i o g ɯ n
지옥을	ʨ i o g ɯ l
지옥의	ʨ i o g i
지옥이	ʨ i o g i
지와	ʨ i wa
지요	ʨ i jo
지용성	ʨ i jo ŋ ss ʌ ŋ
지우	ʨ i u
지우가	ʨ i u g a
지우개	ʨ i u g ɛ
지우개가	ʨ i u g e g a
지우개는	ʨ i u g e n ɯ n
지우개로	ʨ i u g e r o
지우개를	ʨ i u g e r ɯ l
지우게	ʨ i u g e
지우겠습니다	ʨ i u g e t ss ɯ m n i d a
지우고	ʨ i u g o
지우기	ʨ i u g i
지우는	ʨ i u n ɯ n
지우면	ʨ i u m jʌ n
지우시고	ʨ i u s i g o
지우시면	ʨ i u s i m jʌ n
지우지	ʨ i u ʣ i
지운	ʨ i u n
