AAI	a a i
QUE	k œ
QUELQUE	k ɛ l k ə
QUELQUES	k ɛ l k ə
QUESTEUR	k ɥ ɛ s t œ ʁ
QUESTEURS	k ɥ ɛ s t œ ʁ
QUESTURE	k ɥ ɛ s t y ʁ
QUETSCHE	k w ɛ t ʃ
QUETSCHES	k w ɛ t ʃ
QUICK	k w i k
QUICKS	k w i k
QUIDAM	k ɥ i d a m
QUIDAMS	k ɥ i d a m
QUIDDITÉ	k ɥ i d i t e
QUIMPER	k ɛ̃ p ɛ ʁ
QUINQUAGÉNAIRE	k ɥ ɛ̃ k w a ʒ e n ɛ ʁ
QUINQUAGÉNAIRES	k ɥ ɛ̃ k w a ʒ e n ɛ ʁ
QUINTET	k ɛ̃ t ɛ t
QUINTETS	k ɛ̃ t ɛ t
QUITUS	k i t y s
QUIZ	k i z
QUOIQU	k w a k y
QUOIQUE	k w a k ə
QUORUMS	k w ɔ ʁ ɔ m
QUOTA	k w ɔ t a
QUOTAS	k w ɔ t a
QUOTIENT	k ɔ s j ã
QUOTIENTS	k ɔ s j ã
RABASTENS	ʁ a b a s t ɛ̃ s
RACHID	ʁ a ʃ i d
RACHIS	ʁ a ʃ i s
RACKET	ʁ a k ɛ t
RACKETS	ʁ a k ɛ t
RAG	ʁ a
RAID	ʁ ɛ d
RAIDILLON	ʁ ɛ d i j õ
RAIDS	ʁ ɛ d
RAIMENT	ʁ ɛ m ã
RALLUMENT	ʁ a l y m
RAMBERVILLERS	ʁ ã b e ʁ v i l e
RAMENT	ʁ a m
RANIMENT	ʁ a n i m
RAP	ʁ a p
RAPPENEAU	ʁ a p œ n o
RAPPORTIONS	ʁ a p ɔ ʁ t j õ
RAPTS	ʁ a p t
RAQUIL	ʁ a k i j
RATIER	ʁ a s j e
RATIEZ	ʁ a s j e
RATP	ʁ a t
RAUSCH	ʁ ɔ ʃ
RAYA	ʁ a j a
RAZ	ʁ a
RAÏS	ʁ a i s
RDI	ɛ ʁ d e i
REAL	ʁ e a l
REBECCA	ʁ e b e k a
REC	ʁ œ k
RECCUEILLIR	ʁ œ k œ j i ʁ
RECORDMAN	ʁ œ k ɔ ʁ d m a n
RECROQUEVILLE	ʁ œ k ʁ ɔ k v i j
RECRUTIONS	ʁ œ k ʁ y t j õ
RED	ʁ ø
REDENT	ʁ œ d ã
REDISCUTIONS	ʁ œ d i s k y t j õ
REEBOK	ʁ œ b ɔ k
REED	ʁ œ ɛ
REFERMENT	ʁ œ f ɛ ʁ m
REFORMENT	ʁ œ f ɔ ʁ m
REG	ʁ ø
REGGAE	ʁ e g e
REGS	ʁ ø
REHAUSSER	ʁ e o s e
REICH	ʁ a i ʃ
REICHSHOFFEN	ʁ a j ʃ ʃ ɔ f œ n
REIMS	ʁ ɛ̃ s
REIS	ʁ ɛ i
REL	ʁ œ l
REMAKE	ʁ i m ɛ k
REMI	ʁ e m i
REMY	ʁ e m i
RENAISON	ʁ œ n e z õ
RENFERMENT	ʁ ã f ɛ ʁ m
RENFREWSHIRE	ʁ ã f ʁ e ʃ i ʁ
RENOM	ʁ œ n õ
RENOMMENT	ʁ œ n ɔ m
REP	ʁ ø
REPENT	ʁ œ p ã
REPLAY	ʁ i p l ɛ
REPORTER	ʁ œ p ɔ ʁ t ɛ ʁ
REPORTERS	ʁ œ p ɔ ʁ t ɛ ʁ
REQUIEM	ʁ e k ɥ i j ɛ m
REQUIEMS	ʁ e k ɥ i j ɛ m
REQUIERT	ʁ œ k j ɛ ʁ
RER	ʁ e
RES	ʁ ø
RESPECTIONS	ʁ ɛ s p ɛ k t j õ
RESSENT	ʁ œ s ã
RESSUSCITIONS	ʁ e s y s i t j õ
RESSÈMENT	ʁ œ s ɛ m
RETIENT	ʁ œ t j ɛ̃
RETS	ʁ ø
REVISITIONS	ʁ œ v i z i t j õ
REVOLVER	ʁ œ v ɔ l v ɛ ʁ
REX	ʁ ɛ k s
REY	ʁ ø
REYES	ʁ œ j
REYNERIE	ʁ œ n ʁ i
REYNOLDS	ʁ œ n ɔ l
REYRIEUX	ʁ e ʁ j ø
RFID	ɛ ʁ ɛ f i d e
RGE	ɛ ʁ ʒ e ø
RHINOCÉROS	ʁ i n ɔ s e ʁ ɔ s
RHINOVIRUS	ʁ i n ɔ v i ʁ y s
RHODOÏD	ʁ ɔ d ɔ i d
RHÉSUS	ʁ e z y s
RIBEAUVILLÉ	ʁ i b ɔ v i l e
RICHELIEU	ʁ i ʃ ø l j ø
RICHEZ	ʁ i ʃ ɛ z
RICHTER	ʁ i ʃ t ɛ ʁ
RICTUS	ʁ i k t y s
RIEDISHEIM	ʁ i d i s a j m
RIEUPEYROUX	ʁ i j œ p e ʁ u
RIOU	ʁ i j u
RIQUEWIHR	ʁ i g v i ʁ
RISCLE	ʁ i s k l
RIXHEIM	ʁ i k s a j m
RMC	ɛ ʁ ɛ m s e
RMI	ʁ m i
RMN	ɛ ʁ ɛ m ɛ n
RN	ɛ ʁ ɛ n
RNI	ʁ n i
RNIS	ɛ ʁ ɛ n i ɛ s
ROAD	ʁ o d
ROCHEFOUCAULD	ʁ ɔ ʃ f u k o l
ROCKET	ʁ ɔ k ɛ t
ROCKETS	ʁ ɔ k ɛ t
RODEZ	ʁ ɔ d ɛ z
RODOLFO	ʁ œ d ɔ l f o
ROED	ʁ ø
ROLLS	ʁ ɔ l s
ROR	ɛ ʁ o ɛ ʁ
ROSHEIM	ʁ ɔ s a j m
ROSPEZ	ʁ ɔ s p ɛ z
ROSS	ʁ a s
ROUEN	ʁ u ã
ROUGAIL	ʁ u g a i j
ROVER	ʁ ɔ v ɛ ʁ
ROVERS	ʁ ɔ v ɛ ʁ
RR	ɛ ʁ ɛ ʁ
RSA	ʁ s a
RSCG	ɛ ʁ ɛ s s e ʒ e
RSS	ɛ ʁ ɛ s ɛ s
RTA	ɛ ʁ t e a
RTE	ʁ u t
RUADE	ʁ y a d
RUELISHEIM	ʁ y l i s ɛ j m
RUMERSHEIM	ʁ y m ɛ ʁ ʃ ɛ̃
RUOMS	ʁ ɥ õ s
RUPT	ʁ y p t
RUPTS	ʁ y p t
RUT	ʁ y t
RUTS	ʁ y t
RUYMBEKE	ʁ ɥ ɛ̃ b œ k
RVE	ɛ ʁ v e ø
RVI	ʁ v i
RWE	ʁ w ø
RX	ɛ ʁ i k s
RÉAFFIRMENT	ʁ e a f i ʁ m
RÉANIMENT	ʁ e a n i m
RÉARMENT	ʁ e a ʁ m
RÉBUS	ʁ e b y s
RÉCIPIENT	ʁ e s i p j ã
RÉCLAMENT	ʁ e k l a m
RÉCURRENT	ʁ e k y ʁ ã
RÉEXAMEN	ʁ e ɛ g z a m ɛ̃
RÉEXAMENS	ʁ e ɛ g z a m ɛ̃
RÉFORMENT	ʁ e f ɔ ʁ m
RÉFÉRENT	ʁ e f e ʁ ã
RÉG	ʁ e
RÉGUISHEIM	ʁ e g i s a j m
RÉMANENT	ʁ e m a n ã
RÉPRIMENT	ʁ e p ʁ i m
RÉSECTION	ʁ e s ɛ k s j õ
RÉSECTIONS	ʁ e s ɛ k s j õ
RÉSIDENT	ʁ e z i d ã
RÉSILIENT	ʁ e z i l j ã
RÉTICENT	ʁ e t i s ã
RÉTROVIRUS	ʁ e t ʁ ɔ v i ʁ y s
RÉVOLVER	ʁ e v ɔ l v ɛ ʁ
S	ɛ s
S'	s œ
S'AVÈRERA	s a v ɛ ʁ a
SADR	s a d ʁ
SAINTONGEAIS	s ɛ̃ t õ ʒ e
SAISONNIÈRES	s e z ɔ n j ɛ ʁ
SAMOYÈDE	s a m ɔ j ɛ d
SAMOËNS	s a m w ɛ̃ s
SANCTUS	s ã k t y s
SANDWICH	s ã d w i t ʃ
SANDWICHS	s ã d w i t ʃ
SANGUINOLENT	s ã g i n ɔ l ã
SANTENY	s ã t œ n i
SAOUL	s u
SAOULE	s u l
SAOULES	s u l
SAOULS	s u
SARREGUEMINES	s a ʁ œ g m i n
SASKATCHEWAN	s a s k a t ʃ e w a n
SATISFECIT	s a t i s f e s i t
SAUCATS	s ɔ k a t s
SAUJON	s ɔ ʒ õ
SAULCY	s o l s i
SAUSHEIM	s ɔ s a j m
SAYYAF	s ɛ j a f
SAYYED	s ɛ j ɛ
SC	ɛ s s e
SCA	s k a
SCANNER	s k a n ɛ ʁ
SCANNERS	s k a n ɛ ʁ
SCC	ɛ s s e s e
SCE	s ø
SCELLANT	s ɛ l ã
SCH	ɛ s s e a ʃ
SCHAEFFERSHEIM	ʃ a ɛ f ɛ ʁ ʃ ɛ̃
SCHENGEN	ʒ ɛ ŋ ɛ n
SCHERZO	s k ɛ ʁ z o
SCHIEDAM	s k i d a m
SCHILLING	ʃ i l i ŋ
SCHILLINGS	ʃ i l i ŋ
SCHNAPS	ʃ n a p s
SCHNEIDER	ʃ n ɛ d ɛ ʁ
SCHOLIASTE	s k ɔ l j a s t
SCHUMAN	ʃ y m a n
SCI	s i
SCIENT	s i
SCO	s k o
SCOOP	s k u p
SCOOPS	s k u p
SCOOTER	s k u t œ ʁ
SCOOTERS	s k u t œ ʁ
SCOR	s k ɔ ʁ
SCORBUT	s k ɔ ʁ b y t
SCOUT	s k u t
SCOUTS	s k u t
SCP	ɛ s s e p e
SCPI	s p i
SCREW	s k ʁ ɛ
SCRIMSHAW	s k ʁ ɛ̃ ʃ o
SDBO	s d b o
SE	s œ
SEAN	ʃ a n
SECUNDO	s œ k œ̃ d o
SEILER	s ɛ i l e
SEILHAC	s e j a k
SELECT	s œ l ɛ k t
SENS	s ã s
SENTHEIM	s e n t a j m
SENTIMENS	s ã t i m ɛ n
SENTIMENT	s ã t i m ã
SEP	s ɛ p t ã b ʁ ə
SEPTS	s ɛ p t
SER	s ɛ ʁ
SERFS	s ɛ ʁ f
SERGENT	s ɛ ʁ ʒ ã
SERGEÏ	s ɛ ʁ ʒ i
SERMENT	s ɛ ʁ m ã
SERPENT	s ɛ ʁ p ã
SERRIS	s e ʁ i s
SERVIAN	s e ʁ v j ã
SES	s e
SESSENHEIM	s e s œ n a j m
SET	s ɛ t
SETS	s ɛ t
SETTER	s e t ɛ ʁ
SETTERS	s e t ɛ ʁ
SEVER	s œ v e
SEXTILLIONS	s ɛ k s t i l j õ
SEYCHELLES	s e ʃ ɛ l
SHAMISEN	ʃ a m i z ɛ n
SHANGHAI	ʃ ã g a j
SHANGHAIENS	ʃ ã g ɛ
SHILLING	ʃ i l i ŋ
SHILLINGS	ʃ i l i ŋ
SHILOH	ʃ i l o
SHIN	ʃ i n
SHIRT	ʃ œ ʁ t
SHORT	ʃ ɔ ʁ t
SI	ɛ s i
SIBILLE	s i b i l
SIGOLSHEIM	s i g ɔ l ʃ ɛ̃
SIIM	s j ɛ̃
SILGUY	s i l g y
SIMS	s i m
SIXIÈME	s i z j ɛ m
SIXIÈMEMENT	s i z j ɛ m m ã
SIXIÈMES	s i z j ɛ m
SKATEBOARD	s k a t b ɔ ʁ d
SKYROCK	s k a i ʁ ɔ k
SLE	s l ø
SLOBODAN	s l ɔ b ɔ d a n
SME	s m ø
SMOOTHIE	s m ã s i
SNAPS	s n a
SOE	ɛ s o ø
SOFRES	s ɔ f ʁ ɛ s
SOFT	s ɔ f t
SOIXANTAINE	s w a s ã t ɛ n
SOIXANTE-DIX-HUIT	s w a s ã t d i z ɥ i t
SOIXANTE-DIX-NEUF	s w a s ã t d i z n œ f
SOIXANTE-DIX-SEPT	s w a s ã t d i s ɛ t
SOIXANTE-DOUZE	s w a s ã t œ d u z
SOIXANTE-HUIT	s w a s ã t ɥ i t
SOIXANTE-QUATRE	s w a s ã t k a t ʁ
SOIXANTIÈME	s w a s ã t j ɛ m
SOLRE	s ɔ l ʁ ə
SOLVER	s ɔ l v e
SOMNOLENT	s ɔ m n ɔ l ã
SORAYA	s ɔ ʁ a j a
SORTIONS	s ɔ ʁ t j õ
SOUHAITEZ	s w a t e
SOURCIL	s u ʁ s i
SOURCILS	s u ʁ s i
SOUSTEND	s u s t ã
SOUTIENT	s u t j ɛ̃
SOUVENT	s u v ã
SOVIET	s ɔ v j ɛ t
SOVIETS	s ɔ v j ɛ t
SOYA	s ɔ j a
SPAMS	s p a m
SPARQL	ɛ s p e a ɛ ʁ k y ɛ l
SPIEGEL	s p i g œ l
SPLEEN	s p l i n
SPONSORING	s p ɔ n s ɔ ʁ i ŋ
SPOTIFY	s p œ t i f a j
SPQR	ɛ s p e k y ɛ ʁ
SPRINT	s p ʁ i n t
SPRINTEUSE	s p ʁ i n t ø z
SPRINTEUSES	s p ʁ i n t ø z
SPRINTS	s p ʁ i n t
SPURS	s p ɛ ʁ s
SQ	s k w a ʁ
SQDC	ɛ s k y d e s e
SQL	ɛ s k y ɛ l
SQUAT	s k w a t
SQUATS	s k w a t
SREC	ɛ s ɛ ʁ ø s e
SSE	ɛ s ɛ s ø
SSO	ɛ s ɛ s o
STAGNANT	s t a g n ã
STAGNATION	s t a g n a s j õ
STAGNER	s t a g n e
STAND	s t ɛ n d
STANISLAS	s t a n i s l a s
STARTER	s t a ʁ t ɛ ʁ
STARTERS	s t a ʁ t ɛ ʁ
STE	s t ø
STERCKX	s t ɛ ʁ k k s
STIEGLER	s t j œ g l e
STILLER	s t i l a ʁ
STIMULUS	s t i m y l y s
STOP	s t ɔ p
STOPS	s t ɔ p
STREAMENT	s t ʁ i m ã
STREET	s t ʁ i t
STREETS	s t ʁ i t
STRICT	s t ʁ i k t
STRICTS	s t ʁ i k t
STRIDENT	s t ʁ i d ã
STUD	s t a d
SUBAQUATIQUE	s y b a k w a t i k ɥ
SUBAQUATIQUES	s y b a k w a t i k ɥ
SUBCONSCIENT	s y b k õ s j ã
SUBLIMENT	s y b l i m
SUBSAHARIENS	s y b s a a ʁ j ɛ̃
SUBVIENT	s y b v j ɛ̃
SUCCINCTE	s y k s ɛ̃ t
SUCCINCTEMENT	s y k s ɛ̃ t m ã
SUCCULENT	s y k y l ã
SUIVEUR	s ɥ i v ɛ ʁ
SULLY	s a l i
SUP	s y
SUPERMAN	s y p ɛ ʁ m a n
SUPERSTITIONS	s y p ɛ ʁ s t i s j õ
SUPPLÉAIT	s y p l ɛ
SUPPORTER	s y p ɔ ʁ t ɛ ʁ
SUPPORTERS	s y p ɔ ʁ t ɛ ʁ
SUPPRIMENT	s y p ʁ i m
SUPRÉMATIE	s y p ʁ e m a s i
SURF	s ɛ ʁ f
SURNOMMENT	s y ʁ n ɔ m
SURSEOIR	s y ʁ s w a ʁ
SUSCITIONS	s y s i t j õ
SUSPEND	s y s p ã
SUSPENS	s y s p ɛ n s
SUSPENSE	s y s p ɛ n s
SUSPENSES	s y s p ɛ n s
SUT	s y
SVEN	s v ɛ n
SVP	s i l v u p l ɛ
SWAN	s w a n
SWEAT	s w i t
SWEATS	s w i t
SWEET	s w i
SYLLABUS	s i l a b y s
SYNOPSIS	s i n ɔ p s i s
SYPHILIS	s i f i l i s
SÉDIMENT	s e d i m ã
SÉGUY	s e g y
SÉLECT	s e l ɛ k t
SÉLECTS	s e l ɛ k t
SÉQUOIA	s e k ɔ j a
SÉQUOIAS	s e k ɔ j a
T'	t œ
TACT	t a k t
TAHITIEN	t a i s j ɛ̃
TAHITIENNE	t a i s j ɛ n
TAHITIENNES	t a i s j ɛ n
TAHITIENS	t a i s j ɛ̃
TAIEB	t ɛ b
TAIPEI	t a i p ɛ i
TAIWAN	t a j w a n
TALENT	t a l ã
TALISMAN	t a l i s m a n
TALMUD	t a l m y d
TALUS	t a l y s
TAMARIS	t a m a ʁ i s
TANDIS	t ã d i s
TANGENT	t ã ʒ ã
TANGUY	t ã g y
TANYA	t a ɲ a
TARNOS	t a ʁ n ɔ s
TAXON	t a k s õ
TAYYIP	t e j i p
TAÏWAN	t a j w a n
TBI	t e b e i
TBILISSI	t i b i l i s i
TCA	t e s e a
TCHAD	t ʃ a d
TDAH	t e d e a a ʃ
TE	t œ
TELEVISION	t e l e v i ʒ ɔ n
TEMPO	t ɛ m p o
TEMPOS	t ɛ m p o
TENNESSEE	t e n e s i
TENNIS	t e n i s
TENNISMAN	t e n i s m a n
TEPUY	t œ p y
TERMINUS	t ɛ ʁ m i n y s
TES	t e
TEXAS	t ɛ k s a s
TGI	t ʒ i
THALAMUS	t a l a m y s
THE	z ø
THEATRE	t e a t ʁ ə
THERON	t e ʁ õ
THIRTEEN	t i ʁ t ã
THIS	d i s
THOMSON	t ɔ m s ɔ n
THROMBUS	t ʁ õ b y s
THRYMR	t ʁ ɛ̃ ʁ
THUEYTS	t ɥ ɛ j
THYM	t ɛ̃
THYMUS	t i m y s
THÉMIS	t e m i s
THÉSAURUS	t e z ɔ ʁ y s
TIELLE	t j ɛ l
TIELLES	t j ɛ l
TIEMPO	t j ã p o
TIENANMEN	t i n ã m ɛ n
TIER	t j ɛ ʁ
TILLIER	t i l j e
TILT	t i l t
TIMEOUT	t i m œ u
TIMES	t a j m z
TINCHEBRAY	t ɛ̃ ʃ b ʁ ɛ
TION	s j õ
TKT	t e k a t e
TLE	t e ɛ l ø
TMA	t e ɛ m a
TNA	t e ɛ n a
TNK	t e ɛ n k a
TNO	t e ɛ n o
TOAST	t o s t
TOASTS	t o s t
TOME	t ɔ m
TOMES	t ɔ m
TOPLESS	t ɔ p l ɛ s
TORFS	t ɔ ʁ f
TORRENT	t ɔ ʁ ã
TOUI	t u i
TOURNEVIS	t u ʁ n œ v i s
TOUROUVRE	t u ʁ u v ʁ
TOUS	t u s
TOWNSVILLE	t ã s v i l
TOYOTA	t ɔ j ɔ t a
TPE	t p ø
TPI	t p i
TPIR	t p i ʁ
TPIY	t p i
TPO	t e p e o
TPU	t e p e y
TQC	t e k y s e
TRAMWAY	t ʁ a m w ɛ
TRANQUILLE	t ʁ ã k i l
TRANQUILLEMENT	t ʁ ã k i l m ã
TRANQUILLES	t ʁ ã k i l
TRANQUILLISANT	t ʁ ã k i l i z ã
TRANQUILLISANTES	t ʁ ã k i l i z ã t
TRANQUILLISANTS	t ʁ ã k i l i z ã
TRANQUILLISER	t ʁ ã k i l i z e
TRANQUILLITÉ	t ʁ ã k i l i t e
TRANS	t ʁ ã s
TRANSE	t ʁ ã s
TRANSEPT	t ʁ ã s ɛ p t
TRANSEPTS	t ʁ ã s ɛ p t
TRANSES	t ʁ ã s
TRANSEUROPÉEN	t ʁ ã s œ ʁ ɔ p e ɛ̃
TRANSEUROPÉENNES	t ʁ ã s œ ʁ ɔ p e ɛ n
TRANSFORMENT	t ʁ ã s f ɔ ʁ m
TRANSIT	t ʁ ã z i t
TRANSITS	t ʁ ã z i t
TRANSPARENT	t ʁ ã s p a ʁ ã
TRANSYLVAIN	t ʁ ã s i l v ɛ̃
TRAVERS	t ʁ a v ɛ ʁ
TRE	t ʁ ø
TRENTE-DEUX	t ʁ ã t œ d ø
TRENTE-HUIT	t ʁ ã t ɥ i t
TRENTE-QUATRE	t ʁ ã t k a t ʁ
TRENTE-TROIS	t ʁ ã t œ t ʁ w a
TRES	t ʁ ø
TRIBUNITIENNE	t ʁ i b y n i t j ɛ n
TRICEPS	t ʁ i s ɛ p s
TRIDENT	t ʁ i d ã
TRILLION	t ʁ i l j õ
TRILLIONS	t ʁ i l j õ
TROLLEYBUS	t ʁ ɔ l e b y s
TRONC	t ʁ õ
TRONCS	t ʁ õ
TROTTER	t ʁ ɔ t e ʁ
TROYES	t ʁ w a
TRUCULENT	t ʁ y k y l ã
TRUISME	t ʁ y i s m ə
TRUNKS	t ʁ ɛ̃ k s
TRUST	t ʁ a s t
TRÉGUNC	t ʁ e g ɛ̃
TSC	t e ɛ s s e
TTC	t e t e s e
TUMULUS	t y m y l y s
TUNER	t y n ɛ ʁ
TUNERS	t y n ɛ ʁ
TUPIS	t y p i s
TURBULENT	t y ʁ b y l ã
TURCKHEIM	t y ʁ k ɛ m
TURNER	t œ ʁ n œ ʁ
TVA	t e v e a
TWEED	t ɥ i d
TWILL	t w i l
TWO	t u
TX	t e i k s
TYPESCRIPT	t i p ɛ s k ʁ i p t
TYPHUS	t i f y s
TÉL	t e l e f ɔ n
TÉTANOS	t e t a n ɔ s
UBAC	y b a k
UBUNTU	u b œ̃ t u
UCB	y k b
UD	y
UDP	y d
UDS	y
UGC	y g k
UGT	y g
UHT	y a ʃ t e
UM	ɔ m
UNIMENT	y n i m ã
UNIVERS	y n i v ɛ ʁ
UP	a p
UPPERCUT	y p ɛ ʁ k y t
UPPERCUTS	y p ɛ ʁ k y t
UPS	y
URANUS	y ʁ a n y s
URGENT	y ʁ ʒ ã
URL	ɥ e ʁ ɛ l
URSS	y ʁ s
URT	y ʁ t
USB	y ɛ s b e
USC	y s k
UT	y t
UTÉRUS	y t e ʁ y s
VAAS	v a s
VACQUEYRAS	v a k e ʁ a s
VALERY	v a l e ʁ i
VALLERAUGUE	v a l œ ʁ o g
VANDENBERGHE	v a n d œ n b ɛ ʁ g
VANDENDRIESSCHE	v ã d ã d ʁ i j ɛ s ʃ
VANILLIER	v a n i j e
VANILLINE	v a n i l i n
VANS	v a n
VARECH	v a ʁ ɛ k
VARECHS	v a ʁ ɛ k
VARS	v a ʁ s
VAULX	v o l k s
VCA	v e s e a
VE	s ɛ̃ k j ɛ m
VEN	v ã d ʁ œ d i
VENDENHEIM	v ɛ̃ d œ n a j m
VENDRES	v ã d ʁ
VENEZUELA	v œ n e z y l a
VENTRIPOTENT	v ã t ʁ i p ɔ t ã
VERDICT	v ɛ ʁ d i k t
VERDICTS	v ɛ ʁ d i k t
VERGONGHEON	v e ʁ g õ ʒ õ
VERHOEVEN	v ɛ ʁ v ã
VERMEULEN	v e ʁ m œ l ɛ n
VERMIS	v ɛ ʁ m i s
VERNAISON	v e ʁ n e z õ
VERSON	v e ʁ s õ
VERSONNEX	v e ʁ z ɔ n e
VERSUS	v ɛ ʁ s u s
VERTICILLE	v ɛ ʁ t i s i l
VERTICILLES	v ɛ ʁ t i s i l
VERTICILLÉES	v ɛ ʁ t i s i l e
VERTICILLÉS	v ɛ ʁ t i s i l e
VERVINS	v e ʁ v ɛ̃
VES	s ɛ̃ k j ɛ m
VEULE	v ø l
VEULES	v ø l
VEXILLOLOGUE	v ɛ k s i l ɔ l ɔ g
VGA	v e ʒ e a
VGE	v e ʒ e ø
VIAUR	v j ɔ ʁ
VIDELA	v i d e l a
VIEW	v j u v
VIIE	s ɛ t j ɛ m
VIIIE	ɥ i t j ɛ m
VILLA	v i l a
VILLABÉ	v i l a b e
VILLAGE	v i l a ʒ
VILLAGEOIS	v i l a ʒ w a
VILLAGEOISE	v i l a ʒ w a z
VILLAGEOISES	v i l a ʒ w a z
VILLAGES	v i l a ʒ
VILLAS	v i l a
VILLECRESNES	v i l k ʁ ɛ n
VILLEDIEU	v i l d j ø
VILLEGAILHENC	v i l g a j ɛ̃ k
VILLEMOMBLE	v i l m õ b l
VILLEPREUX	v i l p ʁ ø
VILLEREST	v i l ʁ ɛ
VILLEREVERSURE	v i l ʁ œ v e ʁ s y ʁ
VILLEROY	v i l ʁ w a
VILLETANEUSE	v i l t a n ø z
VILLETTE	v i l ɛ t
VILLEURBANNE	v i l œ ʁ b a n
VILLIERS	v i j e
VILLIN	v i j ɛ̃
VILLOSITÉ	v i l o z i t e
VILLOSITÉS	v i l o z i t e
VILLÉGIATEURS	v i l e ʒ j a t œ ʁ
VILLÉGIATURE	v i l e ʒ j a t y ʁ
VINCENT	v ɛ̃ s ã
VINGT-CINQ	v ɛ̃ t s ɛ̃ k
VINGT-DEUX	v ɛ̃ t œ d ø
VINGT-HUIT	v ɛ̃ t ɥ i t
VINGT-NEUF	v ɛ̃ t n œ f
VINGT-QUATRE	v ɛ̃ n k a t ʁ
VINGT-SEPT	v ɛ̃ t s ɛ t
VINGT-SIX	v ɛ̃ t s i s
VINGT-TROIS	v ɛ̃ t œ t ʁ w a
VINGTAINE	v ɛ̃ t ɛ n
VINGTAINES	v ɛ̃ t ɛ n
VINGTIÈME	v ɛ̃ t j ɛ m
VINGTIÈMES	v ɛ̃ t j ɛ m
VINGTS	v ɛ̃ t
VINTIMILLE	v ɛ̃ t i m i j
VIOLENT	v j ɔ l ã
VIRULENT	v i ʁ y l ã
VIRUS	v i ʁ y s
VIS	v i s
VISITIONS	v i z i t j õ
VITELLUS	v i t e l y s
VIVAT	v i v a t
VIVATS	v i v a t
VLADISLAS	v l a d i s l a s
VMA	v e ɛ m a
VOET	v ø
VOIP	v w a p
VOLKSWAGEN	v ɔ l s v a g œ n
VOLLEYBALL	v ɔ l ɛ b ɔ l
VORST	v ɔ ʁ s t
VOSGES	v o ʒ
VR	v ɛ ʁ
VRAIMENT	v ʁ ɛ m ã
VRAISEMBLABLE	v ʁ ɛ s ã b l a b l ə
VRAISEMBLABLEMENT	v ʁ ɛ s ã b l a b l œ m ã
VRAISEMBLABLES	v ʁ ɛ s ã b l a b l ə
VS	v ɛ ʁ s u s
VW	v e d u b l ə v e
VX	v e i k s
VÉNITIEN	v e n i s j ɛ̃
VÉNITIENS	v e n i s j ɛ̃
VÉNUS	v e n y s
VÉNÉZUELA	v e n e z ɥ e l a
W	d u b l ə v e
WAITRESS	w ɛ t ʁ ɛ s
WALESA	v a l e s a
WALHEIM	w a l ɛ̃
WALLERS	w a l ɛ ʁ s
WARNER	w a ʁ n ɔ ʁ
WARRANT	v a ʁ ã
WARRANTS	v a ʁ ã
WASHINGTON	w ɔ ʃ i ŋ t ɔ n
WASP	d u b l ə v e a ɛ s p e
WASSELONNE	v a s œ l ɔ n
WATER	w a t ɛ ʁ
WATERLOO	w a t ɛ ʁ l o
WATERS	w a t ɛ ʁ
WAWRINKA	w ɔ ʁ ɛ̃ k a
WC	v e s e
WE	w ø
WEATHER	w a z ɛ ʁ
WEBBER	w e b e
WEEKEND	w i k ɛ n d
WEEKENDS	w i k ɛ n d
WEIL	v ɛ l
WEISS	w ɛ s
WEITBRUCH	v a j t b ʁ ø ʃ
WEN	w ã
WES	w ø
WETTOLSHEIM	v e t ɔ l s a j m
WF	d u b l ə v e ɛ f
WHISKY	w i s k i
WHISKYS	w i s k i
WIERS	w i e
WIESEL	v i z œ l
WILFRIED	w i l f ʁ i d
WILLEM	w i j ɛ m
WILLIAM	w i l j a m
WILLIAMS	w i l j a m
WIMEREUX	v i m œ ʁ ø
WINCHESTER	w ɛ̃ ʃ ɛ s t ɛ ʁ
WINDOWS	w i n d o z
WINGERSHEIM	v i ŋ e ʁ s a j m
WINGLES	v ɛ̃ g l
WINTZENHEIM	v i n t z œ n a j m
WIRELESS	w a j a l ɛ s
WISSANT	ɥ i s ã
WISSEMBOURG	v i s ã b u ʁ
WISSOUS	v i s u
WITTELSHEIM	v i t e l s a j m
WITTENHEIM	v i t œ n a j m
WM	d u b l ə v e ɛ m
WOERTH	w œ ʁ t
WOIPPY	v w a p i
WOLFISHEIM	v ɔ l f i s a j m
WORD	w œ ʁ d
WPA	d u b l ə v e p e a
WRC	d u b l ə v e ɛ ʁ s e
WWF	d u b l ə v e d u b l ə v e ɛ f
WWW	d u b l ə v e d u b l ə v e d u b l ə v e
WYNTON	ɛ̃ t õ
WYSIWYG	i z j i
X	i k s
XE	d i z j ɛ m
XERXÈS	k s ɛ ʁ k s ɛ
XG	g s ʒ
XHTML	i k s a ʃ t e ɛ m ɛ l
XIAN	k s j ã
XIE	õ z j ɛ m
XIIE	d u z j ɛ m
XIIIE	t ʁ ɛ z j ɛ m
XIIIÈME	t ʁ ɛ z j ɛ m
XIVE	k a t ɔ ʁ z j ɛ m
XIVES	k a t ɔ ʁ z j ɛ m
XIXE	d i z n œ v j ɛ m
XIXÈME	d i z n œ v j ɛ m
XIÈME	k s j ɛ m
XL	ɛ k s ɛ l
XML	i k s ɛ m ɛ l
XP	i k s p e
XPS	i k s p e ɛ s
XV	k ɛ̃ z
XVE	k ɛ̃ z j ɛ m
